Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
dcscr077,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">DEPRESSION</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have times when they feel sad, depressed, irritable or moody. They no longer enjoy the things they used to do; they may feel tired and have less energy than usual.  These changes are much different from their usual selves.</div>",radio,"Did other people say that you seemed (more sad, more grouchy, or like you weren't having as much fun as usual)?","7, N/A | 0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr078,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">MANIA/HYPOMANIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have periods when they feel much more active, energetic, and talkative.  They may think more quickly.  They talk a lot.  They may be fidgety or unable to sit still and they sometimes do things that are unusual for them, like spending too much money.  </div> <div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;"">INCREASED MOTOR ACTIVITY</div>",radio,"Have there been times when you were much more active than usual, had problems sitting still, or needed to move around a lot? ","0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr079,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">MANIA/HYPOMANIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have periods when they feel much more active, energetic, and talkative.  They may think more quickly.  They talk a lot.  They may be fidgety or unable to sit still and they sometimes do things that are unusual for them, like spending too much money.  </div> <div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;"">INCREASED ENERGY</div>",radio,Has there ever been a time when you felt so full of energy that you couldn't stop doing things and you didn't get tired?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr079,,
dcscr080,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">MANIA/HYPOMANIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have periods when they feel much more active, energetic, and talkative.  They may think more quickly.  They talk a lot.  They may be fidgety or unable to sit still and they sometimes do things that are unusual for them, like spending too much money.  </div> <div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;"">INCREASED ENERGY</div>",radio,"Has there ever been a time when you felt like you hardly needed sleep?  <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: Do NOT include isolated events, like a slumber party.</div>","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr079,,
dcscr081,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">MANIA/HYPOMANIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have periods when they feel much more active, energetic, and talkative.  They may think more quickly.  They talk a lot.  They may be fidgety or unable to sit still and they sometimes do things that are unusual for them, like spending too much money.  </div> <div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;"">INCREASED ENERGY</div>",radio,"Have there been times when you kept talking a lot, or had so many ideas in your head that you could hardly keep track of them? ","0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr082,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">MANIA/HYPOMANIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have periods when they feel much more active, energetic, and talkative.  They may think more quickly.  They talk a lot.  They may be fidgety or unable to sit still and they sometimes do things that are unusual for them, like spending too much money.  </div> <div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;"">ELEVATED MOOD</div>",radio,"Have you ever had a time when you felt much more happy or excited than you usually do; when there was nothing special going on? 

<div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: NOT mild elation.</div>","0, No | 1, Yes | 9, Unk",,,,,,,,RH,,dcscr082,,
dcscr083,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">MANIA/HYPOMANIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have periods when they feel much more active, energetic, and talkative.  They may think more quickly.  They talk a lot.  They may be fidgety or unable to sit still and they sometimes do things that are unusual for them, like spending too much money.  </div> <div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;"">ELEVATED MOOD</div>",radio,Have you ever had a time when you felt like you could do almost anything?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr082,,
dcscr084,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">MANIA/HYPOMANIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have periods when they feel much more active, energetic, and talkative.  They may think more quickly.  They talk a lot.  They may be fidgety or unable to sit still and they sometimes do things that are unusual for them, like spending too much money.  </div> <div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;"">IRRITABLE MOOD</div>",radio,"Has there ever been a time when you felt unusually grouchy, cranky, or irritable; when the smallest things would make you really mad? ","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr084,,
dcscr085,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">MANIA/HYPOMANIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have periods when they feel much more active, energetic, and talkative.  They may think more quickly.  They talk a lot.  They may be fidgety or unable to sit still and they sometimes do things that are unusual for them, like spending too much money.  </div> <div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;"">IRRITABLE MOOD</div>",radio,"Did other people, like parents or teachers, notice this change or worry about you? ","0, No | 1, Yes | 9, Unk",,,,,,[dcscr078]= '1' or [dcscr079]= '1' or [dcscr080]= '1' or [dcscr081]= '1' or [dcscr082]= '1' or [dcscr083]= '1' or [dcscr084]= '1',,,,dcscr084,,
dcscr086,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">MANIA/HYPOMANIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have periods when they feel much more active, energetic, and talkative.  They may think more quickly.  They talk a lot.  They may be fidgety or unable to sit still and they sometimes do things that are unusual for them, like spending too much money.  </div> <div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;"">IRRITABLE MOOD</div>",radio,Was this different from how you usually are?,"0, No | 1, Yes | 9, Unk",,,,,,[dcscr078]= '1' or [dcscr079]= '1' or [dcscr080]= '1' or [dcscr081]= '1' or [dcscr082]= '1' or [dcscr083]= '1' or [dcscr084]= '1' or  [dcscr085] = '1' or [dcscr085] = '0',,,,dcscr084,,
dcscr087,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">MANIA/HYPOMANIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have periods when they feel much more active, energetic, and talkative.  They may think more quickly.  They talk a lot.  They may be fidgety or unable to sit still and they sometimes do things that are unusual for them, like spending too much money.  </div> <div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;"">IRRITABLE MOOD</div>",radio,"If yes, During that time/those times, how often did you feel that way?  ","1, Almost every day | 2, About half of the days | 3, Less than half the days | 9, Unknown",,,,,,[dcscr086] = '1',,LH,,,,
dcscr088,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">MANIA/HYPOMANIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have periods when they feel much more active, energetic, and talkative.  They may think more quickly.  They talk a lot.  They may be fidgety or unable to sit still and they sometimes do things that are unusual for them, like spending too much money.  </div> <div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;"">IRRITABLE MOOD</div>",radio,"If yes, On the days you felt this way, how much of the day did it last?  ","1, All of the day | 2, Most of the day | 3, Half of the day | 4, Only a small part of the day | 9, Unknown",,,,,,[dcscr086] = '1',,LH,,,,
dcscr089,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">MANIA/HYPOMANIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have periods when they feel much more active, energetic, and talkative.  They may think more quickly.  They talk a lot.  They may be fidgety or unable to sit still and they sometimes do things that are unusual for them, like spending too much money.  </div> <div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;""><div style=""text-decoration: underline;display:block; width: 100%; background-color: #ffffdd;"">IRRITABLE MOOD</div>",text,How many times a year?,,TIMES,number,,,,[dcscr086] = '1',,,,,,
dcscr090,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;"">HALLUCINATIONS</div>",radio,Have you ever heard voices when no one was there?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr090,,
dcscr091,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;"">HALLUCINATIONS</div>",radio,Have you ever seen things that other people couldn't see?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr090,,
dcscr092,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;"">HALLUCINATIONS</div>",radio,Have you ever seen visions?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr090,,
dcscr093,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;"">HALLUCINATIONS</div>",radio,Have you ever heard things other people couldn't hear?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr090,,
dcscr094,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;"">HALLUCINATIONS</div>",radio,Has there ever been anything unusual about the way things smelled or felt or looked?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr090,,
dcscr095a,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;"">HALLUCINATIONS</div>",text,Example 1,,EXAMPLE,,,,,[dcscr090] = '1' or [dcscr091] = '1' or [dcscr092] = '1' or [dcscr093] = '1' or [dcscr094] = '1',,RH,,,,
dcscr095b,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;"">HALLUCINATIONS</div>",text,Example 2,,EXAMPLE,,,,,[dcscr090] = '1' or [dcscr091] = '1' or [dcscr092] = '1' or [dcscr093] = '1' or [dcscr094] = '1',,RH,,,,
dcscr095c,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;"">HALLUCINATIONS</div>",text,Example 3,,EXAMPLE,,,,,[dcscr090] = '1' or [dcscr091] = '1' or [dcscr092] = '1' or [dcscr093] = '1' or [dcscr094] = '1',,RH,,,,
dcscr095d,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;"">HALLUCINATIONS</div>",text,Example 4,,EXAMPLE,,,,,[dcscr090] = '1' or [dcscr091] = '1' or [dcscr092] = '1' or [dcscr093] = '1' or [dcscr094] = '1',,RH,,,,
cscr40,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;"">HALLUCINATIONS</div>",descriptive,"<div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: If any hallucination questions endorsed, ask next question ONLY to parent.</div>",,,,,,,[dcscr090] = '1' or [dcscr091] = '1' or [dcscr092] = '1' or [dcscr093] = '1' or [dcscr094] = '1',,,,,,
dcscr096,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;"">HALLUCINATIONS</div>",radio,Is this something that is considered unusual for the child? ,"0, No | 1, Yes | 9, Unk",,,,,,[dcscr090] = '1' or [dcscr091] = '1' or [dcscr092] = '1' or [dcscr093] = '1' or [dcscr094] = '1',,LH,,,,
dcscr097,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;"">HALLUCINATIONS</div>",notes,What is it?,,,,,,,[dcscr096] = '1' ,,LH,,,,
dcscr098,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;""><div style="" display:block; width: 100%; background-color: #ffffdd;"">DELUSIONS</div>",radio,Have you ever had your imagination play tricks on you?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr099,,
dcscr099,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;""><div style="" display:block; width: 100%; background-color: #ffffdd;"">DELUSIONS</div>",radio,Have you ever believed in things that most other people or your parents don't believe in? What?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr099,,
dcscr100,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;""><div style="" display:block; width: 100%; background-color: #ffffdd;"">DELUSIONS</div>",radio,"Have you ever believed in things and later found out they weren't true, like people being out to get you, or talking about you behind your back, or controlling what you do or think?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr099,,
dcscr101,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;""><div style="" display:block; width: 100%; background-color: #ffffdd;"">DELUSIONS</div>",radio,Were you sure of that at the time or did you think it just might be so?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr099,,
dcscr102a,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;""><div style="" display:block; width: 100%; background-color: #ffffdd;"">DELUSIONS</div>",text,Example 1,,EXAMPLE,,,,,[dcscr098] = '1' or [dcscr099] = '1' or [dcscr100] = '1' or [dcscr101] = '1',,RH,,,,
dcscr102b,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;""><div style="" display:block; width: 100%; background-color: #ffffdd;"">DELUSIONS</div>",text,Example 2,,EXAMPLE,,,,,[dcscr098] = '1' or [dcscr099] = '1' or [dcscr100] = '1' or [dcscr101] = '1',,RH,,,,
dcscr102c,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;""><div style="" display:block; width: 100%; background-color: #ffffdd;"">DELUSIONS</div>",text,Example 3,,EXAMPLE,,,,,[dcscr098] = '1' or [dcscr099] = '1' or [dcscr100] = '1' or [dcscr101] = '1',,RH,,,,
dcscr102d,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PSYCHOSIS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I am going to ask you some questions about things that happen to people during stressful times.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: When asking psychosis questions, ask child/parent to give examples.</div> <div style="" display:block; width: 100%; background-color: #ffffdd;""><div style="" display:block; width: 100%; background-color: #ffffdd;"">DELUSIONS</div>",text,Example 4,,EXAMPLE,,,,,[dcscr098] = '1' or [dcscr099] = '1' or [dcscr100] = '1' or [dcscr101] = '1',,RH,,,,
dcscr103,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">INTERMITTENT EXPLOSIVE DISORDER</div>",radio,Have you ever had a time when you became so angry you could not control your temper and ended up hitting someone or breaking things?,"0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr104,screener,"<div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: Use clinical judgement here to rate positively. The item broken should be something of value like a car window or punching holes in the wall, not minor things like breaking a pencil.</div>",notes,"If yes, what did you do?",,,,,,,[dcscr103] = '1' ,,LH,,,,
dcscr105,screener,"<div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: Use clinical judgement here to rate positively. The item broken should be something of value like a car window or punching holes in the wall, not minor things like breaking a pencil.</div>",text,How many times has this happened?,,NUMBER OF TIMES,,,,,[dcscr103] = '1' ,,,,,,
dcscr106,screener,"<div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: Use clinical judgement here to rate positively. The item broken should be something of value like a car window or punching holes in the wall, not minor things like breaking a pencil.</div>",notes,What set it off?,,,,,,,[dcscr103] = '1' ,,LH,,,,
cscr44,screener,"<div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: Use clinical judgement here to rate positively. The item broken should be something of value like a car window or punching holes in the wall, not minor things like breaking a pencil.</div>",radio,"<div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: Was the reaction grossly out of proportion to the precipitating event?</div>","0, No | 1, Yes | 9, Unk",,,,,,[dcscr103] = '1' ,,RH,,,,
dcscr107,screener,"<div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: Use clinical judgement here to rate positively. The item broken should be something of value like a car window or punching holes in the wall, not minor things like breaking a pencil.</div>",dropdown,How old were you when this happened the most?,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,,,,[dcscr103] = '1' ,,RH,,,,
cscr46,screener,"<div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: Use clinical judgement here to rate positively. The item broken should be something of value like a car window or punching holes in the wall, not minor things like breaking a pencil.</div>",descriptive,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUICIDE</div>",,,,,,,,,,,,,
dcscr108,screener,"<div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: Use clinical judgement here to rate positively. The item broken should be something of value like a car window or punching holes in the wall, not minor things like breaking a pencil.</div>",radio,Have you ever thought a lot about death or dying?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr108,,
dcscr109,screener,"<div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: Use clinical judgement here to rate positively. The item broken should be something of value like a car window or punching holes in the wall, not minor things like breaking a pencil.</div>",radio,Have you ever thought about killing yourself?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr108,,
dcscr110,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">POST TRAUMATIC STRESS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I'm going to ask you about upsetting things that sometimes happen to children or teenagers.</div> <div style="" width: 100%; background-color: #E5D9F7;"">Participant Card 5 (Stressful Experiences) </div>",radio,Have you ever been in a flood or a tornado or an earthquake or hurricane or some other natural disaster where you thought you were going to die or be seriously hurt?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr110,,
dcscr111,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">POST TRAUMATIC STRESS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I'm going to ask you about upsetting things that sometimes happen to children or teenagers.</div> <div style="" width: 100%; background-color: #E5D9F7;"">Participant Card 5 (Stressful Experiences) </div>",radio,Have you ever been in a situation where you thought you or someone close to you was going to be killed or be hurt very badly? (e.g. family violence),"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr110,,
dcscr112,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">POST TRAUMATIC STRESS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I'm going to ask you about upsetting things that sometimes happen to children or teenagers.</div> <div style="" width: 100%; background-color: #E5D9F7;"">Participant Card 5 (Stressful Experiences) </div>",radio,Have you ever been attacked by somebody or badly beaten?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr110,,
dcscr113,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">POST TRAUMATIC STRESS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I'm going to ask you about upsetting things that sometimes happen to children or teenagers.</div> <div style="" width: 100%; background-color: #E5D9F7;"">Participant Card 5 (Stressful Experiences) </div>",radio,Have you ever been very upset by someone forcing you to do something sexual that you really didn't want to do?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr110,,
dcscr114,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">POST TRAUMATIC STRESS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I'm going to ask you about upsetting things that sometimes happen to children or teenagers.</div> <div style="" width: 100%; background-color: #E5D9F7;"">Participant Card 5 (Stressful Experiences) </div>",radio,Have you ever been attacked sexually or raped?,"0, No | 1, Yes | 9, Unk",,,,,,[dcscr113] = '1' ,,,,dcscr110,,
